BusinessEntityID	Title	FirstName	MiddleName	LastName	Suffix	PhoneNumber	PhoneNumberType	EmailAddress	EmailPromotion	AddressType	AddressLine1	AddressLine2	City	StateProvinceName	PostalCode	CountryRegionName
1699	Mr.	David	R.	Robinett	NULL	238-555-0100	Home	david22@adventure-works.com	1	Home	Pappelallee 6667	NULL	Solingen	Nordrhein-Westfalen	42651	Germany
1699	Mr.	David	R.	Robinett	NULL	238-555-0100	Home	david22@adventure-works.com	1	Home	Pappelallee 6667	NULL	Solingen	Nordrhein-Westfalen	42651	Germany1
1700	Ms.	Rebecca	A.	Robinson	NULL	648-555-0100	Cell	rebecca3@adventure-works.com	0	Home	1861 Chinquapin Ct	NULL	Seaford	Victoria	3198	Australia
1701	Ms.	Dorothy	B.	Robinson	NULL	423-555-0100	Cell	dorothy3@adventure-works.com	2	Home	4693 Mills Dr.	NULL	Geelong	Victoria	3220	Australia
1702	Ms.	Carol Ann	F.	Rockne	NULL	439-555-0100	Cell	carolann0@adventure-works.com	0	Home	1312 Skycrest Drive	NULL	Lancaster	England	LA1 1LN	United Kingdom
1703	Mr.	Scott	M.	Rodgers	NULL	989-555-0100	Cell	scott10@adventure-works.com	0	Home	9860 Brookview Drive	NULL	East Brisbane	Queensland	4169	Australia
1704	Mr.	Jim	NULL	Rodman	NULL	899-555-0100	Home	jim4@adventure-works.com	0	Home	2377 Joyce Dr	NULL	Esher-Molesey	England	EM15	United Kingdom
1705	Mr.	Eric	NULL	Rothenberg	NULL	326-555-0100	Home	eric9@adventure-works.com	0	Home	9277 Country View Lane	NULL	Concord	California	94519	United States
1706	Mr.	Michael	L.	Rothkugel	NULL	358-555-0100	Cell	michael22@adventure-works.com	0	Home	3552 Mildred Ln.	NULL	St. Leonards	New South Wales	2065	Australia
1707	Mr.	Pablo	NULL	Rovira Diez	NULL	786-555-0100	Cell	pablo0@adventure-works.com	0	Home	15, rue Descartes	NULL	East Brisbane	Queensland	4169	Australia
1708	Ms.	Linda	R.	Rousey	NULL	369-555-0100	Home	linda10@adventure-works.com	1	Home	5966 Sepulveda Ct.	NULL	Seaford	Victoria	3198	Australia
1709	Mr.	Luke	J.	Roy	NULL	583-555-0100	Home	luke0@adventure-works.com	2	Home	8625 Woodcrest Drive	NULL	Beverly Hills	California	90210	United States
1710	Ms.	Lisa	K.	Roy	NULL	953-555-0100	Cell	lisa0@adventure-works.com	0	Home	6030 Winter Drive	NULL	Rockhampton	Queensland	4700	Australia
1711	Mr.	Michael	NULL	Ruggiero	NULL	227-555-0100	Cell	michael23@adventure-works.com	0	Home	5501, rue Lauriston	NULL	Saint-Denis	Seine Saint Denis	93400	France
1712	Ms.	Pearlie	J.	Rusek	NULL	633-555-0100	Home	pearlie0@adventure-works.com	2	Home	5154 Brannan Pl.	NULL	Seaford	Victoria	3198	Australia
1713	Ms.	Andrea	NULL	Rusko	NULL	587-555-0100	Cell	andrea0@adventure-works.com	0	Home	4, avenue des Ternes	NULL	Pantin	Seine Saint Denis	93500	France
1714	Mr.	Andy	NULL	Ruth	NULL	856-555-0100	Cell	andy2@adventure-works.com	2	Home	Kurfürstenstr 5444	NULL	Hamburg	Hessen	22001	Germany
1715	Ms.	Justine	J.	Ryan	NULL	498-555-0100	Home	justine0@adventure-works.com	2	Home	2342 Tahoe Place	NULL	Warrnambool	Victoria	3280	Australia
1716	Ms.	Deanna	N.	Sabella	NULL	529-555-0100	Home	deanna2@adventure-works.com	0	Home	Carlsplatz 4641	NULL	Salzgitter	Hessen	38231	Germany
1717	Mr.	Lane	NULL	Sacksteder	NULL	114-555-0100	Home	lane1@adventure-works.com	2	Home	70, rue Georges-Clémenceau	NULL	Paris	Seine (Paris)	75012	France
1718	Mr.	Peter	NULL	Saddow	NULL	132-555-0100	Home	peter5@adventure-works.com	2	Home	15, avenue de la Gare	NULL	Boulogne-sur-Mer	Pas de Calais	62200	France
1719	Ms.	Sharon	NULL	Salavaria	NULL	109-555-0100	Cell	sharon4@adventure-works.com	1	Home	5652 East View Place	NULL	East Brisbane	Queensland	4169	Australia
1720	Mr.	Irving	W	Schmidt	NULL	111-555-0100	Cell	irving0@adventure-works.com	2	Home	1408 Bonifacio St.	NULL	Coffs Harbour	New South Wales	2450	Australia
1721	Mr.	Raymond	NULL	Sam	NULL	313-555-0100	Cell	raymond1@adventure-works.com	1	Home	Kalkweg 43	NULL	Stuttgart	Saarland	70452	Germany
1722	NULL	Mandar	NULL	Samant	NULL	129-555-0100	Home	mandar2@adventure-works.com	0	Home	1005 Valley Oak Plaza	NULL	London	England	SW6 SBY	United Kingdom
1723	Mr.	John	J	Sandstone	NULL	114-555-0100	Cell	john27@adventure-works.com	0	Home	2286 Sunset Way	NULL	Cliffside	British Columbia	V8Y 1L1	Canada
1724	Ms.	Madalena	J.	Sanchez	NULL	749-555-0100	Cell	madalena0@adventure-works.com	0	Home	6537 N Ranchford Court	NULL	Lavender Bay	New South Wales	2060	Australia
1725	Mr.	Thomas	T.	Sanchez	Jr.	127-555-0100	Cell	thomas4@adventure-works.com	0	Home	8645 Michigan Blvd	NULL	Colma	California	94014	United States
1726	Mr.	Ken	NULL	Sánchez	NULL	967-555-0100	Home	ken3@adventure-works.com	0	Home	2, rue Malar	NULL	Les Ulis	Essonne	91940	France
1727	Mr.	Mikael	NULL	Sandberg	NULL	854-555-0100	Cell	mikael1@adventure-works.com	2	Home	Roßstr 6642	NULL	Solingen	Nordrhein-Westfalen	42651	Germany
1728	Ms.	Mary	R.	Sandidge	NULL	113-555-0100	Cell	mary9@adventure-works.com	0	Home	9390 Janin Pl.	NULL	Milsons Point	New South Wales	2061	Australia
1729	Mr.	Patrick	NULL	Sands	NULL	153-555-0100	Cell	patrick4@adventure-works.com	0	Home	9788 Thors Bay Road	NULL	Matraville	New South Wales	2036	Australia
1730	Sr.	José	E	Saraiva	NULL	356-555-0100	Cell	josé5@adventure-works.com	0	Home	Roßstr 7752	NULL	München	Hessen	80074	Germany
1731	Mr.	Lloyd	M.	Saunders	NULL	535-555-0100	Home	lloyd0@adventure-works.com	0	Home	1, rue de l´Avenir	NULL	Chatou	Yveline	78400	France
1732	Mr.	Vadim	NULL	Sazanovich	NULL	958-555-0100	Home	vadim0@adventure-works.com	0	Home	8531 Bayter Court	NULL	W. York	England	BD1 4SJ	United Kingdom
1733	Mr.	K.	NULL	Saravan	NULL	156-555-0100	Home	k0@adventure-works.com	1	Home	3272 Ryan Court	NULL	London	England	SW1P 2NU	United Kingdom
1734	Mr.	Gary	NULL	Schare	NULL	157-555-0100	Cell	gary4@adventure-works.com	0	Home	Kulmer Straße 36	NULL	Braunschweig	Nordrhein-Westfalen	38001	Germany
1735	Ms.	Yvonne	NULL	Schleger	NULL	155-555-0100	Home	yvonne2@adventure-works.com	0	Home	Charlottenstr 3918	NULL	Essen	Hamburg	45001	Germany
1736	Mr.	Steve	NULL	Schmidt	NULL	988-555-0100	Cell	steve3@adventure-works.com	0	Home	6126 North Sixth Street	NULL	Rockhampton	Queensland	4700	Australia
1737	Mr.	Scot	NULL	Schulte	NULL	910-555-0100	Cell	scot1@adventure-works.com	0	Home	5473 Olive Hill	NULL	Matraville	New South Wales	2036	Australia
1738	Ms.	Barbara	R.	Schultz	NULL	558-555-0100	Home	barbara7@adventure-works.com	2	Home	6321 Laguna Street	NULL	Silverwater	New South Wales	2264	Australia
1739	Mr.	Mike	NULL	Seamans	NULL	210-555-0100	Home	mike5@adventure-works.com	0	Home	4678 Cardinal Dr.	NULL	Beverly Hills	California	90210	United States
1740	Mr.	Scott	NULL	Seely	NULL	209-555-0100	Home	scott11@adventure-works.com	1	Home	Berliner Platz 774	NULL	München	Hamburg	80074	Germany
1741	Ms.	Birgit	NULL	Seidel	NULL	492-555-0100	Cell	birgit0@adventure-works.com	0	Home	543 Northwood Drive	NULL	Bendigo	Victoria	3550	Australia
1742	Mr.	Steven	NULL	Selikoff	NULL	861-555-0100	Cell	steven3@adventure-works.com	1	Home	8384 Golden Rain Road	NULL	Burien	Washington	98168	United States
1743	Ms.	Alice	J.	Serventi	NULL	116-555-0100	Home	alice3@adventure-works.com	0	Home	103, avenue des Champs-Elysées	NULL	Paris La Defense	Hauts de Seine	92081	France
1744	Mr.	Joshua	R.	Several	NULL	194-555-0100	Cell	joshua1@adventure-works.com	0	Home	3880 95th St.	NULL	Beaverton	Oregon	97005	United States
1745	Mr.	Paul	J.	Shakespear	NULL	880-555-0100	Home	paul4@adventure-works.com	0	Home	2368 Olivera Rd	NULL	Caloundra	Queensland	4551	Australia
1746	Mr.	Alan	NULL	Shen	NULL	484-555-0100	Cell	alan3@adventure-works.com	1	Home	9826 Olive Ave.	NULL	Sydney	New South Wales	1002	Australia
1747	Mr.	David	B.	Shepard	NULL	192-555-0100	Home	david23@adventure-works.com	2	Home	570, avenue des Ternes	NULL	Roncq	Nord	59223	France
1748	Ms.	Janet	NULL	Sheperdigian	NULL	943-555-0100	Cell	janet3@adventure-works.com	0	Home	9145 Paso Del Rio Way	NULL	Warrington	England	WA1	United Kingdom
1749	Ms.	Megan	NULL	Sherman	NULL	361-555-0100	Home	megan2@adventure-works.com	1	Home	Wasserstr 64	NULL	Saarbrücken	Saarland	66001	Germany
1750	Ms.	Irma	J.	Sherwood	NULL	760-555-0100	Cell	irma0@adventure-works.com	0	Home	7323 Alan Drive	NULL	Hobart	Tasmania	7001	Australia
1751	Mr.	Daniel	NULL	Shimshoni	NULL	151-555-0100	Home	daniel1@adventure-works.com	2	Home	5690 Morgan Territory Rd	NULL	London	England	SW8 4BG	United Kingdom
1752	Ms.	Misty	NULL	Shock	NULL	185-555-0100	Home	misty0@adventure-works.com	2	Home	5959 C Olivera Rd	NULL	London	England	W1Y 3RA	United Kingdom
1753	Mr.	Carlos	M.	Short	Jr.	187-555-0100	Cell	carlos0@adventure-works.com	0	Home	6853 Hacienda	NULL	Brisbane	Queensland	4000	Australia
1754	Mr.	Shish	NULL	Shridhar	NULL	715-555-0100	Cell	shish0@adventure-works.com	0	Home	886 Panoramic Drive	NULL	Gateshead	England	GA10	United Kingdom
1755	Ms.	Britta	NULL	Simon	NULL	274-555-0100	Cell	britta1@adventure-works.com	1	Home	6441 Co Road	NULL	Wollongong	New South Wales	2500	Australia
1756	Mr.	Marty	E.	Simpson	NULL	288-555-0100	Cell	marty0@adventure-works.com	0	Home	1937 Sycamore Drive	NULL	Bellingham	Washington	98225	United States
1757	Mr.	David	NULL	Simpson	NULL	115-555-0100	Cell	david24@adventure-works.com	2	Home	3956 Stonedale	NULL	Beaverton	Oregon	97005	United States
1758	Ms.	Anne	R.	Sims	NULL	886-555-0100	Home	anne0@adventure-works.com	0	Home	4932 La Jolla	NULL	Stoke-on-Trent	England	AS23	United Kingdom
1759	Mr.	Mircea	Radu	Singer	NULL	575-555-0100	Cell	mircea0@adventure-works.com	2	Home	7, impasse Ste-Madeleine	NULL	Lille	Nord	59000	France
1760	Mr.	Paul	NULL	Singh	NULL	390-555-0100	Cell	paul5@adventure-works.com	1	Home	371 Westwood Court	NULL	Burbank	Ohio	44214	United States
1761	Ms.	Bonnie	L.	Skelly	NULL	641-555-0100	Home	bonnie3@adventure-works.com	0	Home	6091 MountainAire Parkway	NULL	Burlingame	California	94010	United States
1762	Mr.	Anders	B	Skjønaa	NULL	685-555-0100	Home	anders0@adventure-works.com	2	Home	Alderstr 8139	NULL	Bonn	Hamburg	53131	Germany
1763	Ms.	Dianne	K.	Slattengren	NULL	204-555-0100	Cell	dianne0@adventure-works.com	2	Home	1574 Hudson Ave.	NULL	Maidenhead	England	SL67RJ	United Kingdom
1764	Ms.	Lanna	A.	Slaven	NULL	962-555-0100	Home	lanna0@adventure-works.com	0	Home	70, rue de Cambrai	NULL	Les Ulis	Essonne	91940	France
1765	Ms.	Cathy	J.	Sloan	NULL	756-555-0100	Home	cathy0@adventure-works.com	1	Home	Marketplatz 75	NULL	München	Hamburg	80074	Germany
1766	Mr.	Leonard	J.	Smith	NULL	128-555-0100	Cell	leonard0@adventure-works.com	2	Home	8483 Arizona Drive	NULL	Port Macquarie	New South Wales	2444	Australia
1767	Ms.	Mary	J.	Smith	NULL	941-555-0100	Cell	mary10@adventure-works.com	1	Home	4911 Peachwillow Lane	NULL	Milton Keynes	England	MK8 8DF	United Kingdom
1768	Ms.	Peggy	R.	Smith	NULL	153-555-0100	Home	peggy1@adventure-works.com	0	Home	28, rue Henri Gagnon	NULL	Croix	Nord	59170	France
1769	Mr.	Rolando	T.	Smith	Jr.	284-555-0100	Cell	rolando0@adventure-works.com	1	Home	3771 Concerto Circle	NULL	Berkeley	California	94704	United States
1770	Mr.	Ben	NULL	Adams	NULL	182-555-0100	Home	ben2@adventure-works.com	0	Home	1534 Land Ave	NULL	Bremerton	Washington	98312	United States
1771	Ms.	Denise	NULL	Smith	NULL	326-555-0100	Cell	denise2@adventure-works.com	0	Home	44, rue Saint-Lazare	NULL	Roncq	Nord	59223	France
1772	Mr.	Jeff	NULL	Smith	NULL	515-555-0100	Home	jeff4@adventure-works.com	0	Home	6992 Tara St.	NULL	Concord	California	94519	United States
1773	Ms.	Samantha	NULL	Smith	NULL	978-555-0100	Cell	samantha1@adventure-works.com	0	Home	9021 Onley Dr	NULL	Cheltenham	England	GL50	United Kingdom
1774	Ms.	Lorrin	G.	Smith-Bates	NULL	129-555-0100	Home	lorrin0@adventure-works.com	1	Home	11, quai de l´ Iton	NULL	Pantin	Seine Saint Denis	93500	France
1775	Mr.	Timothy	NULL	Sneath	NULL	385-555-0100	Home	timothy1@adventure-works.com	0	Home	3001 Hanson Lane	NULL	Gloucestershire	England	GL7 1RY	United Kingdom
1776	Ms.	Victoria	L.	Snowden	NULL	574-555-0100	Cell	victoria0@adventure-works.com	1	Home	8, rue de l´Avenir	NULL	Paris	Seine (Paris)	75019	France
1777	Mr.	David	NULL	So	NULL	349-555-0100	Cell	david25@adventure-works.com	2	Home	Marketplatz 5193	NULL	Bonn	Nordrhein-Westfalen	53131	Germany
1778	Mr.	Ajay	NULL	Solanki	NULL	193-555-0100	Home	ajay1@adventure-works.com	2	Home	5486 Olivera Road	NULL	Brisbane	Queensland	4000	Australia
1779	NULL	Alma	L.	Son	NULL	149-555-0100	Home	alma1@adventure-works.com	1	Home	Kurfürstenstr 4124	NULL	Werne	Nordrhein-Westfalen	59368	Germany
1780	Ms.	Lolan	NULL	Song	NULL	504-555-0100	Home	lolan1@adventure-works.com	2	Home	1830 Shore Rd.	NULL	Warrington	England	WA1	United Kingdom
1781	Mr.	William	K.	Sotelo	NULL	819-555-0100	Home	william5@adventure-works.com	0	Home	5629 Seagull Court	NULL	Bremerton	Washington	98312	United States
1782	Sr.	Anibal	NULL	Sousa	NULL	283-555-0100	Cell	anibal1@adventure-works.com	0	Home	Essener Straße 18	NULL	Bottrop	Nordrhein-Westfalen	46236	Germany
1783	Ms.	Sylvia	N.	Spencer	NULL	173-555-0100	Cell	sylvia1@adventure-works.com	0	Home	52, rue Malar	NULL	Saint Germain en Laye	Yveline	78100	France
1784	Mr.	Phil	NULL	Spencer	NULL	161-555-0100	Cell	phil0@adventure-works.com	0	Home	9208 West Rd	NULL	South Melbourne	Victoria	3205	Australia
2380	NULL	Warren	A	Tang	NULL	1 (11) 500 555-0118	Cell	warren0@adventure-works.com	2	Home	Marienplatz 50	NULL	Hof	Bayern	95010	Germany
2381	NULL	Warren	S	Pal	NULL	1 (11) 500 555-0165	Home	warren1@adventure-works.com	1	Home	8, rue de l´Avenir	NULL	Drancy	Seine Saint Denis	93700	France
2382	NULL	Kelvin	K	Xie	NULL	499-555-0116	Home	kelvin0@adventure-works.com	1	Home	2356 Shady Ln.	NULL	Burbank	California	91502	United States
2383	NULL	Crystal	L	Cai	NULL	1 (11) 500 555-0189	Cell	crystal0@adventure-works.com	1	Home	76bis, boulevard du Montparnasse	NULL	Orly	Val de Marne	94310	France
2384	NULL	Crystal	NULL	Zeng	NULL	1 (11) 500 555-0184	Home	crystal1@adventure-works.com	2	Home	Auf Der Steige 6	NULL	Neunkirchen	Saarland	66578	Germany
2385	NULL	Laura	M	Zhang	NULL	1 (11) 500 555-0149	Cell	laura7@adventure-works.com	1	Home	5, rue des Bouchers	NULL	Orleans	Loiret	45000	France
2386	NULL	Laura	L	Wang	NULL	1 (11) 500 555-0134	Home	laura8@adventure-works.com	0	Home	4006 Sunny Ave.	NULL	Hervey Bay	Queensland	4655	Australia
2387	NULL	Laura	C	Chen	NULL	1 (11) 500 555-0166	Cell	laura9@adventure-works.com	0	Home	Winter der Böck 254	NULL	Salzgitter	Hessen	38231	Germany
2388	NULL	Laura	O	Li	NULL	1 (11) 500 555-0145	Cell	laura10@adventure-works.com	0	Home	9965 V. Street	NULL	Oxford	England	OX1	United Kingdom
